grp.10  grp.11  grp.12  grp.13  grp.14  grp.15
3.314E+15       2.780E+15       1.583E+15       1.160E+15       1.191E+15       2.237E+15
3.314E+15       2.781E+15       1.583E+15       1.160E+15       1.191E+15       2.241E+15
3.315E+15       2.781E+15       1.584E+15       1.161E+15       1.191E+15       2.247E+15
3.315E+15       2.782E+15       1.584E+15       1.161E+15       1.192E+15       2.253E+15
3.316E+15       2.783E+15       1.585E+15       1.161E+15       1.192E+15       2.260E+15
3.317E+15       2.784E+15       1.585E+15       1.161E+15       1.193E+15       2.269E+15
3.318E+15       2.785E+15       1.586E+15       1.162E+15       1.193E+15       2.279E+15
3.319E+15       2.786E+15       1.587E+15       1.162E+15       1.194E+15       2.290E+15
3.223E+15       2.746E+15       1.595E+15       1.178E+15       1.230E+15       2.970E+15
3.038E+15       2.709E+15       1.659E+15       1.240E+15       1.355E+15       6.115E+15
2.920E+15       2.720E+15       1.743E+15       1.307E+15       1.483E+15       1.053E+16
2.815E+15       2.684E+15       1.757E+15       1.322E+15       1.525E+15       1.379E+16
2.656E+15       2.580E+15       1.717E+15       1.302E+15       1.520E+15       1.624E+16
2.473E+15       2.445E+15       1.651E+15       1.262E+15       1.489E+15       1.820E+16
2.274E+15       2.285E+15       1.564E+15       1.206E+15       1.437E+15       1.964E+16
2.070E+15       2.113E+15       1.464E+15       1.139E+15       1.369E+15       2.067E+16
1.867E+15       1.936E+15       1.357E+15       1.064E+15       1.290E+15       2.131E+16
1.671E+15       1.758E+15       1.246E+15       9.848E+14       1.204E+15       2.162E+16
1.486E+15       1.584E+15       1.135E+15       9.039E+14       1.114E+15       2.164E+16
1.313E+15       1.418E+15       1.026E+15       8.234E+14       1.023E+15       2.142E+16
1.154E+15       1.262E+15       9.219E+14       7.451E+14       9.325E+14       2.100E+16
1.010E+15       1.118E+15       8.236E+14       6.701E+14       8.448E+14       2.041E+16
8.807E+14       9.852E+14       7.320E+14       5.995E+14       7.609E+14       1.970E+16
7.654E+14       8.649E+14       6.476E+14       5.336E+14       6.817E+14       1.889E+16
6.634E+14       7.565E+14       5.707E+14       4.729E+14       6.080E+14       1.801E+16
5.736E+14       6.598E+14       5.011E+14       4.175E+14       5.399E+14       1.709E+16
4.951E+14       5.738E+14       4.386E+14       3.673E+14       4.776E+14       1.613E+16
4.267E+14       4.980E+14       3.828E+14       3.221E+14       4.211E+14       1.517E+16
3.673E+14       4.314E+14       3.334E+14       2.817E+14       3.701E+14       1.421E+16
3.159E+14       3.731E+14       2.897E+14       2.458E+14       3.244E+14       1.327E+16
2.717E+14       3.223E+14       2.513E+14       2.140E+14       2.837E+14       1.235E+16
2.335E+14       2.782E+14       2.177E+14       1.860E+14       2.475E+14       1.147E+16
2.008E+14       2.400E+14       1.884E+14       1.614E+14       2.156E+14       1.062E+16
1.727E+14       2.070E+14       1.630E+14       1.400E+14       1.875E+14       9.806E+15
1.486E+14       1.785E+14       1.408E+14       1.212E+14       1.629E+14       9.038E+15
1.280E+14       1.539E+14       1.217E+14       1.049E+14       1.414E+14       8.315E+15
1.103E+14       1.328E+14       1.051E+14       9.081E+13       1.226E+14       7.636E+15
9.524E+13       1.147E+14       9.086E+13       7.857E+13       1.063E+14       7.001E+15
8.232E+13       9.907E+13       7.855E+13       6.799E+13       9.209E+13       6.409E+15
7.125E+13       8.569E+13       6.795E+13       5.885E+13       7.980E+13       5.860E+15
6.178E+13       7.420E+13       5.883E+13       5.096E+13       6.916E+13       5.350E+15
5.365E+13       6.434E+13       5.098E+13       4.416E+13       5.997E+13       4.880E+15
4.668E+13       5.587E+13       4.423E+13       3.830E+13       5.202E+13       4.446E+15
